
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;
8,255157;-0,0098;-0,0186;0,9997;201,4996;1,0631;-0,5589;
8,352824;-0,0068;-0,0137;1,0046;201,5019;0,6719;-0,4484;
8,454288;-0,0049;-0,0205;1,0056;201,5048;1,1688;-0,2787;
8,555415;-0,0117;-0,0156;1,0017;201,4937;0,7264;-0,7252;
8,656060;-0,0078;-0,0156;1,0026;201,4976;0,8936;-0,4475;
8,756388;-0,0137;-0,0205;0,9977;201,4909;1,1813;-0,7818;
8,856648;-0,0078;-0,0137;0,9997;201,4930;0,9536;-0,7270;
8,958822;-0,0098;-0,0195;1,0007;201,4977;1,1186;-0,5586;
9,059329;-0,0127;-0,0186;1,0007;201,4870;0,9500;-1,1734;
9,160405;-0,0166;-0,0166;1,0046;201,5004;1,0684;-0,2809;
9,261989;-0,0117;-0,0137;0,9987;201,4937;0,7847;-0,6731;
9,362659;-0,0107;-0,0205;1,0046;201,4949;0,7245;-0,6676;
9,463671;-0,0156;-0,0166;1,0017;201,4888;0,9505;-0,8936;
9,563351;-0,0205;-0,0156;1,0065;201,4859;0,8897;-1,1674;
9,664593;-0,0078;-0,0147;1,0046;201,4901;1,0038;-1,1689;
9,764491;-0,0205;-0,0186;0,9948;201,6011;1,0686;-1,1818;
9,865389;-0,0020;-0,0127;0,9909;201,4919;0,9595;-0,7905;
9,966722;0,0020;-0,0088;1,0007;201,6275;0,5034;0,1114;
10,067637;-0,0430;0,0381;1,0085;201,6905;-2,6859;-2,8542;
10,168416;-0,0469;0,0459;0,9772;201,4208;-2,6878;-2,7480;
10,268862;-0,0195;0,0665;0,9870;202,3142;-3,8510;-1,1341;
10,369813;-0,0215;0,0743;1,0554;201,7245;-4,3683;0,0002;
10,470326;-0,0195;0,0938;1,0056;202,1156;-5,3289;-1,1134;
10,573133;-0,0293;0,1134;1,0017;201,5877;-6,3802;-1,7417;
10,673895;-0,0410;0,1397;0,9811;201,6549;-7,8144;-1,8802;
10,774144;-0,0762;0,1671;0,9899;202,2693;-9,5538;-4,4029;
10,874852;-0,0469;0,1886;0,9909;201,7584;-10,8825;-2,5569;
10,975624;-0,0821;0,2404;1,0153;202,1611;-13,2787;-4,6220;
11,075878;-0,0469;0,2893;0,9225;201,5644;-17,3878;-2,9105;
11,176735;-0,0098;0,3684;0,9342;201,2908;-21,3358;-1,3303;
11,277417;-0,0420;0,4016;0,9254;201,8749;-23,4395;-2,6004;
11,378652;-0,0313;0,4134;0,9108;202,9265;-24,2865;-3,0070;
11,478401;-0,0274;0,4573;0,9000;202,6989;-26,9254;-1,7430;
11,579530;-0,0479;0,4652;0,8951;202,5226;-27,0890;-3,5338;
11,681059;-0,0567;0,5003;0,8512;202,6427;-29,7823;-3,5717;
11,780634;-0,0635;0,5306;0,8336;203,1355;-32,4041;-4,3578;
11,881952;-0,0410;0,5785;0,7974;202,2005;-35,8746;-2,5291;
11,983607;-0,1261;0,5981;0,7974;206,4038;-36,5313;-8,9828;
12,084647;-0,0860;0,6215;0,7593;203,2622;-39,1226;-6,4616;
12,185132;-0,1280;0,6606;0,7456;205,8099;-41,0434;-9,7420;
12,286447;-0,0919;0,6772;0,7144;206,7278;-43,2372;-7,3270;
12,387051;-0,0860;0,6841;0,6792;205,6859;-45,1640;-8,7530;
12,494021;-0,0938;0,7183;0,6635;207,6084;-46,9852;-8,0474;
12,586995;-0,0792;0,7290;0,6684;206,9754;-47,5368;-7,1044;
12,688238;-0,0948;0,7359;0,6489;208,8714;-48,2935;-8,3111;
